スラムダンクで、主人公・花道が入部した部活は何か？,1,バスケットボール部,野球部,陸上部,弓道部
スラムダンクで、花道が高校入学当初、憧れていた先輩は誰か？,3,三井寿,宮城良田,赤木剛憲,流川楓
スラムダンクで、桜木花道が鉄拳制裁を受けたのは誰からか？,4,赤木剛憲,安西先生,神,宮城良田
スラムダンクで、流川楓が初めて試合で登場した相手校はどこか？,1,山王工業高校,湘北高校,陵南高校,翔陽高校
スラムダンクで、花道が初めてスラムダンクを成功させた相手校はどこか？,2,山王工業高校,湘北高校,陵南高校,翔陽高校
スラムダンクで、三井寿がユニフォームの背番号としてつけている数字は何か？,1,14,4,7,11
スラムダンクで、桜木花道が夏合宿で最初に取り組んだ練習メニューは何か？,2,100mダッシュ,腕立て伏せ,スクワット,ジャンプ
スラムダンクで、花道が最初に恋した女性は誰か？,2,赤木さん,山王の女子生徒,三井寿の彼女,湘北の女子マネージャー
スラムダンクで、流川楓が「ハルコ」と呼んでいる女性は誰か？,2,母親,妹,恋人,先輩
スラムダンクで、花道が初めて対戦した天才プレイヤーは誰か？,1,流川楓,三井寿,桜木花道,福田耕平
