ナルトの師匠である「自来也」の本名は次のうちどれ？,1,九尾の狐,七尾の狸,八尾の蛇,二尾の豹
木ノ葉隠れの里の初代火影は誰？,1,千手扉間,うちはマダラ,はたけカカシ,初代火影はいない
サスケが使う雷遁の術の名称は？,1,千鳥,旋風刃,螺旋丸,木遁の術
ナルトの父親は誰？,4,うちはイタチ,はたけカカシ,うずまきナルト,うちはサスケ
『NARUTO -ナルト-』の作者は誰？,4,大場つぐみ,荒川弘,鳥山明,岸本斉史
『NARUTO -ナルト-』の主人公、うずまきナルトの家族で生き残っているのは誰？,2,父親だけ,母親だけ,両親と兄弟,誰も生き残っていない
『NARUTO -ナルト-』の中で、木ノ葉隠れの里と敵対する音隠れの里の忍者集団の名称は何？,2,雷影,暁,五影,砂隠れの里
『NARUTO -ナルト-』の中で、ナルトが一番最初に仲間になったチームメイトは誰？,2,春野サクラ,うちはサスケ,奈良シカマル,大蛇丸
『NARUTO -ナルト-』の中で、秘伝「影分身の術」を開発したのは誰？,2,自来也,はたけカカシ,うずまきナルト,千手柱間
『NARUTO -ナルト-』の中で、イタチが所属する忍者集団の名称は何？,1,暁,木ノ葉の里,雷影,火影
