「ワンピース」の主人公モンキー・D・ルフィの夢は何か？,2,ゴールデン・オールドを見つけること,海賊王になること,世界中の料理を食べること,宇宙を旅すること
「ワンピース」に登場する三大武器といえば、光月アイヌ、プルトン、何？,4,ミケランジェロ,ニクス,シャイニング,ポセイドン
主人公モンキー・D・ルフィが持っている宝物は何か？,3,ワンピース,黄金郷,ゴムゴムの実,海賊万博
海賊王ゴールド・ロジャーの最期の言葉は何か？,1,「俺の財宝とやらを探せ！」,「海賊王に俺はなる！」,「俺がお前たちに道を教えてやる！」,「海に飛び込め！」
ルフィが倒した四皇のうち、女性の海賊は誰？,2,ビッグ・マム,黒ひげ,白ひげ,赤犬
ルフィが「ONE PIECE」を手に入れるために必要なものは何？,4,仲間,お金,船,勇気
トラファルガー・ローが能力者の能力である「オペ・オペの実」を手に入れたときに犠牲にしたものは？,3,自分の寿命,自分の体の一部,仲間,家族
船医のトニートニー・チョッパーが人間になった「人間薬」を作ったのは誰？,2,ヒルルク,ワポル,カリファ,ケイミー
ルフィたち麦わら海賊団が所属するグランドラインの第二半球の四皇は誰？,4,カイドウ,ビッグマム,黒ひげ,シャンクス
ルフィが初めて手に入れた「ゴムゴムの実」を食べる前に仲間になったのは誰？,3,シャンクス,ナミ,ゾロ,ウソップ
