「ドラゴンボール」の悪役ピッコロ大魔王が生まれた場所はどこ？,1,火の山,氷の山,大砂漠,海底洞窟
「ドラゴンボール」に登場する、ヤムチャの元カノの名前は何？,2,チチ,ブルマ,アンドロイド18号,プーアル
「ドラゴンボール」の作者は誰でしょうか？,1,尾田栄一郎,鳥山明,稲田浩司,藤本タツキ
「ドラゴンボール」に登場するクリリンの好きな女性キャラクターは誰でしょうか？,3,18号,ブルマ,チチ,ランチ
「ドラゴンボール」の主人公孫悟空が最初に使用した技は何でしょうか？,4,かめはめ波,太陽拳,めかめか波,龍拳
「ドラゴンボール」に登場するピッコロ大魔王の人種は何でしょうか？,2,ナメック星人,地球人,サイヤ人,フリーザ一族
「ドラゴンボール」の世界で、超サイヤ人に変身するために必要な条件は何でしょうか？,1,怒りの感情,悲しみの感情,喜びの感情,幸せな気持ち
「ドラゴンボール」のキャラクターで、サイヤ人の中でも最も強い戦士と言われているのは誰でしょうか？,4,ブロリー,ベジータ,ラディッツ,ナッパ
「ドラゴンボール」のヤムチャが好きな女性キャラクターは誰でしょうか？,3,ブルマ,チチ,ランチ,18号
「ドラゴンボール」の中で、悟空とクリリンが修業に向かった先の師匠の名前は何でしょうか？,1,かめはめ波,カリン,マスターローシ,タートル
「ドラゴンボール」の世界で、死後の世界はいくつかのエリアに分かれていますが、その中でも最下層に位置する場所はどこでしょうか？,3,地獄,神界,魔界,天国
